,logFC,AveExpr,t,P.Value,adj.P.Val,B
FAM20A,2.8507692026343,2.76487233960282,9.48442287600151,9.12725947888279e-12,2.0740877668403e-07,16.6360656574531
DSC2,2.13916791133955,4.89352470511492,9.25711255215667,1.78627974806176e-11,2.0740877668403e-07,15.9988715511657
DRAM1,1.1432778670883,4.25441100226993,9.24837770883388,1.83320467283039e-11,2.0740877668403e-07,15.9742432591509
PLBD1,1.58017331893361,8.31763358186265,8.90139248254137,5.17431894756662e-11,3.41142463406444e-07,14.9875030927419
HCAR2,1.41831444723155,6.76009376007294,8.83259479213848,6.36728945067957e-11,3.41142463406444e-07,14.7899427240835
HP,3.67028253158772,3.30220782091278,8.75453598343922,8.06269836017073e-11,3.41142463406444e-07,14.5650352945333
CTSB,1.15313031636034,9.13340087215984,8.73680984512608,8.5075822360344e-11,3.41142463406444e-07,14.5138511036217
FCGR1A,3.01461659991896,5.67679769987711,8.73032716728101,8.67642227984472e-11,3.41142463406444e-07,14.4951222066665
MS4A4A,2.1402981510071,2.36699048570168,8.71658395404937,9.04567253154791e-11,3.41142463406444e-07,14.4553991376919
FCGR1B,2.39585830283645,4.89751740657221,8.57207261740612,1.40392339414317e-10,4.18890700931945e-07,14.0362390569506
NOG,-2.33762316625061,2.21505639770134,-8.56480413823687,1.43539967657362e-10,4.18890700931945e-07,14.0150864001032
PLXDC1,-1.80709736407744,3.32674432568942,-8.51512005260543,1.67057298154973e-10,4.18890700931945e-07,13.8703182662015
CELSR1,-1.73172244209092,1.64682256257594,-8.51233587462806,1.68485109732053e-10,4.18890700931945e-07,13.8621966473975
NLRC4,1.5797722354802,5.45485152052243,8.48069110609066,1.85608383702304e-10,4.18890700931945e-07,13.7698189555859
EML6,-1.87384420052658,0.837761597520642,-8.44886125081279,2.04611000302761e-10,4.18890700931945e-07,13.67677545804
CREG1,1.23992435954097,5.86450387338736,8.44128845469072,2.09414871950995e-10,4.18890700931945e-07,13.654620573005
GALNT14,2.64007937772784,3.17807502885104,8.44068391772932,2.09803250127955e-10,4.18890700931945e-07,13.6528516417028
FCGR2A,1.27891680623965,9.77767467816908,8.37155769814258,2.59383227362657e-10,4.89110305730184e-07,13.4502860582312
ANXA3,2.6000592154618,5.50710408423255,8.25709246541049,3.68978497230541e-10,6.59150955421001e-07,13.1135864669068
NMNAT1,0.798762931025045,3.47461710144124,8.20003653299962,4.40073045538152e-10,7.27824752211049e-07,12.9451733405379
MCEMP1,3.00427031112703,4.93483733892557,8.18907091278462,4.55249258792314e-10,7.27824752211049e-07,12.9127620748624
MMP19,1.60829244701461,-0.150679160764812,8.17755988122448,4.71750178205264e-10,7.27824752211049e-07,12.8787236210469
ZNF438,1.55702094343948,5.05126095752346,8.14827230769714,5.16513535575318e-10,7.52178073615717e-07,12.7920499422955
CASP1,1.16869739232261,7.74600772632982,8.13882135410726,5.31856513074575e-10,7.52178073615717e-07,12.7640595799358
NPC2,1.1400802507912,7.27789829235572,8.08767118910746,6.23259224829865e-10,7.68046553695407e-07,12.6123928536977
PDE9A,-1.6470042619032,1.19226750677896,-8.08471038930071,6.29012230833014e-10,7.68046553695407e-07,12.6036045500708
DUSP3,1.17877930292668,6.05881602360339,8.08175733796493,6.34803650822279e-10,7.68046553695407e-07,12.5948382524452
TDRD9,2.03629245192708,3.02821477411708,8.05623252646443,6.87163126603783e-10,7.68046553695407e-07,12.5190252031571
PYGL,1.51890937527147,8.37155941910937,8.05459926549439,6.90658415662007e-10,7.68046553695407e-07,12.5141716304642
NAIPP3,2.32796393596152,-0.291052577560441,8.04894060868856,7.0290789846155e-10,7.68046553695407e-07,12.4973534348958
IGSF6,1.01012909949766,7.86160832470589,8.03480581124284,7.34474078045312e-10,7.68046553695407e-07,12.4553274036795
BST1,1.30504819735074,6.69450681935853,8.02496364651215,7.57296435104704e-10,7.68046553695407e-07,12.4260511201368
SMCO4,1.34473056197438,4.18359857220878,8.02113951603362,7.66356114650586e-10,7.68046553695407e-07,12.4146730212563
SIGLEC9,1.16227699780414,6.56662986455846,8.01988206347539,7.69358989618875e-10,7.68046553695407e-07,12.4109313116906
HEXB,0.719654983495064,6.22998407198768,7.95772894988555,9.33607542420516e-10,8.83594084246038e-07,12.2257679145484
PASK,-1.55714900953308,4.70080888266543,-7.95650724978663,9.37168906748493e-10,8.83594084246038e-07,12.2221240136361
BCL7A,-1.80245090545867,2.71826328975557,-7.91889432000197,1.0537973170822e-09,9.52720169100422e-07,12.1098580655121
LTBP3,-0.935019806667968,5.56983882705752,-7.91501707100507,1.06662443067044e-09,9.52720169100422e-07,12.0982766145658
TLR5,1.82706491849853,5.56825519575758,7.90096743554879,1.11444072246947e-09,9.64960768845884e-07,12.0562963333768
LEF1-AS1,-1.68964206397791,0.677007844516877,-7.87968011088846,1.19104951779588e-09,9.64960768845884e-07,11.9926493167059
ALDH1A2,1.64370383593785,-0.0160920472508514,7.87438701662282,1.2109105213126e-09,9.64960768845884e-07,11.9768159340293
OPLAH,1.98721446280233,3.80369396859951,7.87269915708227,1.21731387239263e-09,9.64960768845884e-07,11.9717663616992
AC139495.2,2.31323320456322,4.90604631430317,7.86425497230814,1.24986645654751e-09,9.64960768845884e-07,11.946499310161
COL4A4,-1.19620959073592,0.866045036031753,-7.85061180101086,1.30432995487248e-09,9.64960768845884e-07,11.905659576379
AGBL2,-0.881724589019941,0.608837747850238,-7.8382960099464,1.35555092475694e-09,9.64960768845884e-07,11.8687762820806
WDR27,-1.03227304458656,2.64021063895543,-7.8354984149626,1.36746639402545e-09,9.64960768845884e-07,11.8603958162873
NRCAM,-2.81272893330356,-0.645340031926543,-7.82876765304941,1.39656917137209e-09,9.64960768845884e-07,11.8402297848961
FBXL5,1.01687580139198,8.04624478745626,7.8278920412719,1.40040088249539e-09,9.64960768845884e-07,11.8376060139531
TSPYL2,-0.863907700287787,4.66183075334119,-7.82426252675951,1.41639732413466e-09,9.64960768845884e-07,11.8267293118637
AL355076.2,-1.84860151580763,-2.38993019227469,-7.81961289461538,1.43715968019114e-09,9.64960768845884e-07,11.8127935606006
