,Anderson_42,Anderson_OD_51,Berry_393,Berry_OD_86,Blankley_380,Blankley_5,Bloom_OD_144,Esmail_203,Esmail_82,Esmail_OD_893,Gjoen_10,Gjoen_7,Gliddon_OD_3,Gliddon_OD_4,Huang_OD_13,Jacobsen_3,Jenum_8,Kaforou_27,Kaforou_OD_44,Kaforou_OD_53,Lee_4,Leong_24,Leong_RISK_29,Maertzdorf_4,Maertzdorf_OD_100,Qian_OD_17,Rajan_HIV_5,Roe_3,Roe_OD_4,Sambarey_HIV_10,Singhania_OD_20,Sloot_HIV_2,Suliman_4,Suliman_RISK_4,Sweeney_OD_3,Thompson_9,Thompson_FAIL_13,Thompson_RES_5,Tornheim_71,Tornheim_RES_25,Verhagen_10,Walter_51,Walter_PNA_119,Walter_PNA_47,Zak_RISK_16
Anderson_42,1,0.0810810810810811,0.162162162162162,0,0.216216216216216,0,0,0.108108108108108,0.027027027027027,0.324324324324324,0.027027027027027,0.027027027027027,0,0.027027027027027,0,0,0,0.027027027027027,0.027027027027027,0.135135135135135,0,0,0.027027027027027,0,0.0540540540540541,0,0.0540540540540541,0.027027027027027,0,0,0,0,0,0,0.027027027027027,0,0,0,0.0810810810810811,0.027027027027027,0,0,0.0810810810810811,0.027027027027027,0.027027027027027
Anderson_OD_51,0.0731707317073171,1,0.292682926829268,0.024390243902439,0.48780487804878,0,0.146341463414634,0.0731707317073171,0.024390243902439,0.292682926829268,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0,0,0.121951219512195,0.0731707317073171,0.146341463414634,0,0,0,0,0.024390243902439,0,0.024390243902439,0.024390243902439,0,0.024390243902439,0,0,0.024390243902439,0,0.024390243902439,0.024390243902439,0,0.024390243902439,0.0975609756097561,0.0487804878048781,0,0.0975609756097561,0.0975609756097561,0.0487804878048781,0.024390243902439
Berry_393,0.0206896551724138,0.0413793103448276,1,0.0344827586206897,0.620689655172414,0.0137931034482759,0.137931034482759,0.0896551724137931,0.0310344827586207,0.455172413793103,0.0103448275862069,0.0137931034482759,0.00689655172413793,0.00689655172413793,0.0103448275862069,0.00344827586206897,0,0.0482758620689655,0.0310344827586207,0.0482758620689655,0,0.0103448275862069,0.0137931034482759,0.0137931034482759,0,0.0310344827586207,0.0103448275862069,0.00689655172413793,0,0.0172413793103448,0,0,0.00344827586206897,0.00689655172413793,0.00689655172413793,0.0241379310344828,0,0.00344827586206897,0.0448275862068966,0.0310344827586207,0,0.0275862068965517,0.0172413793103448,0.00689655172413793,0.0517241379310345
Berry_OD_86,0,0.0135135135135135,0.135135135135135,1,0.135135135135135,0,0,0,0,0.0945945945945946,0,0,0,0,0,0,0,0,0.0135135135135135,0.027027027027027,0,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135135135135135,0,0,0.0405405405405405,0.0405405405405405,0.0135135135135135,0
Blankley_380,0.02088772845953,0.0522193211488251,0.469973890339426,0.0261096605744125,1,0.0130548302872063,0.133159268929504,0.101827676240209,0.0443864229765013,0.483028720626632,0.00783289817232376,0.010443864229765,0.00522193211488251,0.00522193211488251,0.00522193211488251,0.00522193211488251,0.00261096605744125,0.0443864229765013,0.0287206266318538,0.0574412532637076,0,0.00522193211488251,0.010443864229765,0.010443864229765,0.010443864229765,0.02088772845953,0.00783289817232376,0.00783289817232376,0.00261096605744125,0.0130548302872063,0.00522193211488251,0,0.00783289817232376,0.00522193211488251,0.00522193211488251,0.0156657963446475,0,0.00261096605744125,0.0600522193211488,0.031331592689295,0,0.02088772845953,0.0156657963446475,0.00261096605744125,0.0339425587467363
Blankley_5,0,0,0.8,0,1,1,0.8,0.8,0.4,1,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0,0.4
Bloom_OD_144,0,0.0521739130434783,0.347826086956522,0,0.443478260869565,0.0347826086956522,1,0.0956521739130435,0.0521739130434783,0.460869565217391,0.0173913043478261,0.0173913043478261,0.0173913043478261,0,0.0347826086956522,0.00869565217391304,0,0.0521739130434783,0.0173913043478261,0.0521739130434783,0,0.00869565217391304,0,0.00869565217391304,0,0.00869565217391304,0.0173913043478261,0,0.0173913043478261,0.0260869565217391,0,0,0,0,0.00869565217391304,0.0434782608695652,0,0.00869565217391304,0.0434782608695652,0.0347826086956522,0,0.0347826086956522,0,0,0.0260869565217391
Esmail_203,0.0258064516129032,0.0193548387096774,0.167741935483871,0,0.251612903225806,0.0258064516129032,0.0709677419354839,1,0.425806451612903,1,0,0,0.0129032258064516,0.00645161290322581,0.0129032258064516,0.00645161290322581,0,0.0580645161290323,0.0193548387096774,0.0580645161290323,0.00645161290322581,0.0193548387096774,0.0129032258064516,0.00645161290322581,0.0193548387096774,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0.00645161290322581,0,0,0.00645161290322581,0.00645161290322581,0,0.0193548387096774,0,0,0.0645161290322581,0,0,0.0193548387096774,0.00645161290322581,0,0.0516129032258065
Esmail_82,0.0151515151515152,0.0151515151515152,0.136363636363636,0,0.257575757575758,0.0303030303030303,0.0909090909090909,1,1,1,0,0,0.0151515151515152,0,0.0151515151515152,0,0,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0151515151515152,0.0303030303030303,0,0,0.0303030303030303,0,0,0.0151515151515152,0.0151515151515152,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0.0151515151515152,0,0,0.0606060606060606
Esmail_OD_893,0.0171428571428571,0.0171428571428571,0.188571428571429,0.01,0.264285714285714,0.00714285714285714,0.0757142857142857,0.221428571428571,0.0942857142857143,1,0.00571428571428571,0.00571428571428571,0.00285714285714286,0.00142857142857143,0.00285714285714286,0.00285714285714286,0.00142857142857143,0.0271428571428571,0.01,0.0314285714285714,0.00142857142857143,0.00571428571428571,0.00714285714285714,0.00428571428571429,0.0142857142857143,0.00857142857142857,0.00428571428571429,0.00285714285714286,0.00285714285714286,0.00714285714285714,0.00285714285714286,0,0.00428571428571429,0.00142857142857143,0.00285714285714286,0.00857142857142857,0,0.00142857142857143,0.0371428571428571,0.00571428571428571,0.00142857142857143,0.0114285714285714,0.00714285714285714,0.00285714285714286,0.0171428571428571
