"Gene" "Type"
"DDX11L1" "transcribed_unprocessed_pseudogene"
"WASH7P" "unprocessed_pseudogene"
"MIR6859-1" "miRNA"
"MIR1302-2HG" "lncRNA"
"MIR1302-2" "miRNA"
"FAM138A" "lncRNA"
"OR4G4P" "unprocessed_pseudogene"
"OR4G11P" "transcribed_unprocessed_pseudogene"
"OR4F5" "protein_coding"
"AL627309.1" "lncRNA"
"AL627309.3" "lncRNA"
"CICP27" "processed_pseudogene"
"AL627309.6" "processed_pseudogene"
"AL627309.7" "processed_pseudogene"
"AL627309.2" "lncRNA"
"AL627309.5" "lncRNA"
"RNU6-1100P" "snRNA"
"AL627309.4" "lncRNA"
"FO538757.1" "unprocessed_pseudogene"
"WASH9P" "unprocessed_pseudogene"
"MIR6859-2" "miRNA"
"AP006222.1" "transcribed_processed_pseudogene"
"AP006222.2" "lncRNA"
"RPL23AP24" "processed_pseudogene"
"AL732372.1" "lncRNA"
"AL732372.2" "transcribed_unprocessed_pseudogene"
"WBP1LP7" "processed_pseudogene"
"OR4F29" "protein_coding"
"CICP7" "processed_pseudogene"
"AL732372.3" "unprocessed_pseudogene"
"FO681485.1" "snRNA"
"AL669831.3" "transcribed_processed_pseudogene"
"AC114498.1" "lncRNA"
"MTND1P23" "unprocessed_pseudogene"
"MTND2P28" "unprocessed_pseudogene"
"MTCO1P12" "unprocessed_pseudogene"
"AC114498.2" "miRNA"
"MTCO2P12" "unprocessed_pseudogene"
"MTATP8P1" "unprocessed_pseudogene"
"MTATP6P1" "unprocessed_pseudogene"
"MTCO3P12" "unprocessed_pseudogene"
"WBP1LP6" "processed_pseudogene"
"OR4F16" "protein_coding"
"CICP3" "processed_pseudogene"
"AL669831.1" "transcribed_unprocessed_pseudogene"
"RNU6-1199P" "snRNA"
"AL669831.2" "lncRNA"
"LINC01409" "lncRNA"
"AL669831.6" "transcribed_processed_pseudogene"
"AL669831.4" "transcribed_unprocessed_pseudogene"
"FAM87B" "lncRNA"
"LINC01128" "lncRNA"
"LINC00115" "lncRNA"
"AL669831.7" "lncRNA"
"FAM41C" "lncRNA"
"TUBB8P11" "unprocessed_pseudogene"
"AL669831.5" "transcribed_unprocessed_pseudogene"
"AL645608.6" "lncRNA"
"AL645608.2" "lncRNA"
"AL645608.4" "lncRNA"
"LINC02593" "lncRNA"
"SAMD11" "protein_coding"
"NOC2L" "protein_coding"
"KLHL17" "protein_coding"
"PLEKHN1" "protein_coding"
"PERM1" "protein_coding"
"AL645608.7" "lncRNA"
"HES4" "protein_coding"
"ISG15" "protein_coding"
"AL645608.3" "processed_pseudogene"
"AL645608.1" "lncRNA"
"AGRN" "protein_coding"
"AL645608.5" "lncRNA"
"AL390719.1" "transcribed_unprocessed_pseudogene"
"AL645608.8" "lncRNA"
"RNF223" "protein_coding"
"C1orf159" "protein_coding"
"AL390719.3" "lncRNA"
"LINC01342" "lncRNA"
"MIR200B" "miRNA"
"MIR200A" "miRNA"
"MIR429" "miRNA"
"AL390719.2" "lncRNA"
"TTLL10-AS1" "lncRNA"
"TTLL10" "protein_coding"
"TNFRSF18" "protein_coding"
"TNFRSF4" "protein_coding"
"SDF4" "protein_coding"
"B3GALT6" "protein_coding"
"C1QTNF12" "protein_coding"
"AL162741.1" "lncRNA"
"UBE2J2" "protein_coding"
"LINC01786" "lncRNA"
"SCNN1D" "protein_coding"
"ACAP3" "protein_coding"
"MIR6726" "miRNA"
"PUSL1" "protein_coding"
"INTS11" "protein_coding"
